@relation names_feature

@attribute Name {Amira,Kawkab,Faheem,Faisal,Adam,Omar,Layla,Dawud,Bashir,Afeefah,Asim,Ismail,Hussein,Bushra,Nida,Iman,Hala,Naeema,Fareed,Shakir,Ghaliya,BadrUddin,Aneesa,Sharifa,Aakifa,Ubaid,Husna,Arif,Safa,Faris,Aamir,Farida,Shahid,Huda,Mujtaba,Eisa,Nadia,Afra,Sharif,Aziza,Umair,Ahmad,Irfan,Shuaib,Amal,Murad,Furqan,Abida,Muneeb,Khadijah,Abeer,Areej,Habib,Urwa,Aida,Afia,Adeeb,Noor,Iffat,Nafisa,Farhan,Aatika,Burhan,Maleeha,Munira,Zeenat,Maymouna,Saadiya,Inaya,Firdous,Khalida,Luqman,Almas,Qamar,Uqbah,Falak,AbdulAlim,Arshad,Azra,Amjad,Khawlah,Akram,Hadiyya,Asiyah,Hashim,Jamila,Ajmal,Anas,Adeela,Aqeel,Raniya,Munir,Maha,Imran,Asma,Hamza,Bilal,Anees,Amina}
@attribute Name_Length numeric
@attribute First_Letter {a,k,f,o,l,d,b,i,h,n,s,g,u,m,e,z,q,j,r}
@attribute Vowel_Count numeric
@attribute Consonant_Count numeric
@attribute Is_First_Letter_Vowel {0,1}
@attribute Last_Letter {a,b,m,l,r,d,h,n,f,s,j,t,k}
@attribute Num_Uppercase numeric
@attribute Num_Lowercase numeric
@attribute Is_Palindrome {0,1}
@attribute Num_Distinct_Letters numeric
@attribute Starts_With_Consonant {0,1}
@attribute Gender {0,1}

@data
Amira,5,a,3,2,1,a,1,4,0,4,0,0
Kawkab,6,k,2,4,0,b,1,5,0,4,1,1
Faheem,6,f,3,3,0,m,1,5,0,5,1,1
Faisal,6,f,3,3,0,l,1,5,0,5,1,1
Adam,4,a,2,2,1,m,1,3,0,3,0,1
Omar,4,o,2,2,1,r,1,3,0,4,0,1
Layla,5,l,2,3,0,a,1,4,0,3,1,0
Dawud,5,d,2,3,0,d,1,4,0,4,1,1
Bashir,6,b,2,4,0,r,1,5,0,6,1,1
Afeefah,7,a,4,3,1,h,1,6,0,4,0,0
Asim,4,a,2,2,1,m,1,3,0,4,0,1
Ismail,6,i,3,3,1,l,1,5,0,5,0,1
Hussein,7,h,3,4,0,n,1,6,0,6,1,1
Bushra,6,b,2,4,0,a,1,5,0,6,1,0
Nida,4,n,2,2,0,a,1,3,0,4,1,0
Iman,4,i,2,2,1,n,1,3,0,4,0,0
Hala,4,h,2,2,0,a,1,3,0,3,1,0
Naeema,6,n,4,2,0,a,1,5,0,4,1,0
Fareed,6,f,3,3,0,d,1,5,0,5,1,1
Shakir,6,s,2,4,0,r,1,5,0,6,1,1
Ghaliya,7,g,3,4,0,a,1,6,0,6,1,0
BadrUddin,9,b,3,6,0,n,2,7,0,7,1,1
Aneesa,6,a,4,2,1,a,1,5,0,4,0,0
Sharifa,7,s,3,4,0,a,1,6,0,6,1,0
Aakifa,6,a,4,2,1,a,1,5,0,4,0,0
Ubaid,5,u,3,2,1,d,1,4,0,5,0,1
